# Hipparcos bright-star supplement — generated by hipparcos-gaia-match
# Position propagated from Hipparcos epoch (J1991.25) to ref_epoch J2015.00 via Hipparcos PM.
# fitted_g_mag uses G ≈ +0.3780 +0.9685*Hp -0.5216*(B-V) when B-V is present,
# else the fallback G ≈ +0.1472 +0.9499*Hp.
hip,ra,dec,parallax_mas,pmra_mas_yr,pmdec_mas_yr,b_v,fitted_g_mag
36089,111.530546,-18.121497,3.5400,-14.4000,10.3000,-0.0200,7.4487
35422,109.698835,-72.186787,2.3300,0.7700,23.1700,0.9800,8.4283
16378,52.753411,27.724180,10.8200,28.3100,-26.9800,0.1500,7.9218
102840,312.515421,26.070727,3.5600,-0.0500,-16.8500,0.1620,7.9833
32275,101.072290,40.622310,6.6900,-21.4300,-152.7600,1.5900,6.1731
38302,117.709898,-66.695340,7.7800,-19.1500,62.0200,0.4220,8.6031
43807,133.829932,-45.041635,3.4900,-13.1200,8.3900,-0.1520,6.5200
100631,306.075303,37.575395,3.4400,6.3100,-9.2500,-0.0120,8.1903
73652,225.835269,4.834116,4.0900,16.8500,-3.9700,0.6610,7.4325
60884,187.164458,-58.183544,1.8700,-17.5700,-4.1700,1.2890,7.8506
92202,281.870441,-5.705278,2.3200,-44.0900,-31.3600,1.2800,4.9208
9800,31.507233,41.532795,7.4100,6.2200,-16.8400,0.3140,6.8580
27748,88.099279,-26.291131,3.6700,-7.8300,8.0900,-0.0070,7.9746
23737,76.538979,-73.037413,7.7000,17.4800,62.2600,0.0100,6.4355
88104,269.908118,-56.255540,5.6600,-1.6200,-3.5400,1.6730,6.5075
30717,96.807351,0.299212,3.4300,2.9000,-8.2500,1.1860,4.7858
44703,136.634263,3.859792,3.7800,13.7500,-20.9700,0.9890,7.7940
56802,174.667163,-13.201417,37.0600,99.6200,126.1700,0.5200,5.4141
31772,99.665758,-81.458620,4.3300,0.8100,62.2500,0.5240,8.6952
102283,310.866158,16.945136,12.6900,-17.1300,24.9500,0.4360,8.4118
65585,201.693185,-74.188829,3.3800,-8.5200,-2.6800,0.0060,8.5392
3552,11.350679,-4.629003,2.9300,37.1300,37.6500,1.6520,5.4725
80598,246.838938,6.270721,1.5700,5.2900,-9.1200,1.7560,8.1591
52260,160.168943,-43.757453,6.6100,-15.1900,-9.4600,0.6000,7.8420
52877,162.207840,65.132522,7.7600,5.0900,7.3900,-0.0220,6.5878
30324,95.674924,-17.955920,6.5300,-3.4500,-0.4700,-0.2400,2.4208
