# Hipparcos bright-star supplement — generated by hipparcos-gaia-match
# Position propagated from Hipparcos epoch (J1991.25) to ref_epoch J2015.50 via Hipparcos PM.
# fitted_g_mag uses G ≈ +0.1835 +0.9882*Hp -0.4359*(B-V) when B-V is present,
# else the fallback G ≈ -0.0444 +0.9770*Hp.
hip,ra,dec,parallax_mas,pmra_mas_yr,pmdec_mas_yr,b_v,fitted_g_mag
33336,103.998803,-11.539268,1.9200,-2.3300,1.0100,0.0400,9.0109
46709,142.828831,-47.952467,16.8000,-28.0500,9.6800,0.2670,6.5204
74461,228.246673,-51.972976,3.0200,-5.6600,-34.3900,1.5520,6.6817
71217,218.463548,-61.864924,2.1500,-4.1200,-5.1400,0.0950,8.9177
41799,127.835307,-2.522675,6.5400,-15.1900,-3.5800,0.4900,8.6764
33449,104.319245,58.422228,19.1400,6.5800,-123.5300,0.8500,4.1119
33408,104.223498,-24.969174,3.1900,-5.3500,2.9800,1.4610,7.4626
103216,313.675037,37.073692,5.7700,9.6200,-3.7400,0.0200,7.2408
70626,216.707699,-39.874087,7.1200,-19.6500,-22.7900,-0.0880,6.5071
37739,116.111890,-40.550329,3.1800,1.9400,8.4200,1.2890,7.2806
67436,207.314078,-62.100403,-3.6500,-3.1700,-1.2900,0.3480,7.9477
110121,334.605085,28.742248,7.2500,-6.3400,-14.3900,0.2660,8.0921
118032,359.129609,53.712609,6.2100,12.4200,0.7100,0.9700,7.2912
95354,290.991776,32.723871,5.8800,36.7700,28.9300,1.2270,6.3293
64466,198.203616,-66.226713,11.4500,25.3100,7.8500,0.0480,6.0031
57434,176.615758,-70.910328,1.8600,-10.1600,-8.1200,1.5400,7.9321
63839,196.258126,-64.441663,10.5200,-37.5400,-17.7700,0.0060,6.7429
117957,358.890974,57.412166,-0.7200,-3.1300,-0.4400,0.1550,6.0751
26959,85.810473,-33.424958,1.8900,-1.5200,4.0800,1.6210,6.2267
43253,132.168767,-60.638053,1.1100,-10.4500,8.6400,0.1860,8.7298
90078,275.746420,12.090608,1.5400,4.3200,5.0900,1.1790,8.3267
105091,319.328271,58.611473,1.2900,-2.9300,-2.7100,0.1940,6.4435
46290,141.602375,-42.251148,3.6500,-5.1300,0.7100,0.4350,6.5855
62587,192.377802,-71.731466,0.1400,-3.4200,-0.2500,0.0010,7.8519
57965,178.339890,-74.539788,6.5300,-71.6500,-32.0600,0.4610,8.8274
29239,92.473046,14.852761,2.4000,-13.0300,0.1000,-0.0500,7.4788
111877,339.920398,47.059086,2.7800,-4.3100,-22.8700,1.6250,7.5097
53356,163.679845,-42.018232,6.7700,-62.5500,-19.9500,1.0360,6.6003
32329,101.229275,20.860709,21.7700,93.7200,12.8600,0.5620,7.0539
85787,262.953605,-51.890504,7.4700,8.9400,-12.9100,0.9550,8.1278
112386,341.433702,29.394624,1.1800,-8.9000,-28.3500,1.1730,7.9933
102571,311.795005,34.374159,8.1800,39.2600,8.2400,1.2940,4.4916
81765,250.527634,-28.846127,8.4600,13.1000,-46.1100,0.6030,8.8149
94828,289.433384,25.851170,1.5200,11.3800,6.2700,0.1600,8.4645
36496,112.628930,-54.399247,7.5300,13.2700,27.4600,1.5850,5.3727
50669,155.203995,-33.630587,1.2400,-15.0500,6.4200,1.6100,7.9807
15259,49.204719,51.218080,4.3700,22.5200,-24.4800,0.0360,7.2832
81498,249.695415,-29.892883,21.4100,117.7100,-85.4100,0.5850,8.0420
94366,288.101541,36.182269,3.0300,5.8600,9.5900,-0.0270,7.0636
21677,69.806439,22.652247,2.3300,0.4700,-1.8300,0.3060,8.4898
30532,96.273782,16.994681,3.3800,-5.4200,-2.8300,-0.0500,7.1329
93393,285.322316,26.291372,4.6800,-0.7400,-9.1000,-0.0860,5.8441
42016,128.471728,-33.490268,0.1900,-4.9500,-4.5200,0.1240,8.7074
55896,171.858144,-60.546175,-0.7600,-4.0500,1.0700,0.8030,8.6684
49916,152.879583,-36.798279,4.8800,-15.3000,11.4600,1.2340,7.5912
17728,56.944149,70.549378,3.4500,-3.8100,1.8700,0.3650,8.7803
37313,114.907677,-17.871632,6.2600,-6.7100,-14.1300,0.1270,7.6388
28658,90.771352,36.521916,6.4800,-11.2900,-33.0700,0.3470,8.4719
94888,289.649489,53.968264,4.4500,-2.0200,0.7500,0.2200,8.0134
95416,291.143131,-30.803088,4.4000,33.6000,-119.2800,1.1500,7.2226
31179,98.143852,-55.648968,13.7000,115.8100,-86.6700,0.7780,7.6713
4127,13.215124,40.245795,23.8200,-91.0800,52.3700,0.5950,6.6047
94992,289.941615,36.764410,8.2500,18.4500,18.6400,0.3600,7.4187
80152,245.405577,-71.874017,8.9800,-31.9900,-27.6000,0.0200,6.8059
85656,262.580869,-51.977552,5.2300,-0.2000,-13.3400,0.0350,8.1829
87695,268.684741,-55.898475,5.1900,8.1100,-10.4900,0.0330,7.3932
90460,276.880386,67.820089,3.3100,5.8200,-26.0000,0.9790,8.6313
75071,230.109512,-62.104404,4.9500,-39.3000,-14.8100,1.1040,8.4483
81277,249.010226,-73.485870,6.2000,13.9200,-22.4800,0.5170,8.5460
14859,47.972333,82.903729,5.0900,21.7700,-20.2200,0.9830,6.7321
84866,260.179602,-7.106913,14.4900,21.6500,-44.3400,0.7450,8.5257
3677,11.763491,41.964916,5.6500,1.2300,19.1400,0.5000,8.7610
77325,236.803568,-42.205341,17.6700,-4.5600,-142.7500,0.6600,7.1891
112351,341.352079,44.752396,4.6200,11.7900,-7.9500,-0.0260,7.1126
64004,196.727488,-49.906300,7.9200,-26.2400,-12.4300,-0.1820,4.4827
85580,262.328739,37.959973,6.4700,-5.5900,-2.3700,0.1350,8.4951
13104,42.124759,48.454071,3.9000,8.8800,-12.5500,0.0400,8.1116
52879,162.217800,-67.573549,3.1500,-8.2100,4.7900,0.0600,8.8737
60627,186.376837,-69.476712,5.5100,-6.8200,-4.8700,-0.0200,7.9598
75985,232.762311,-18.836668,5.8200,-5.5700,-23.7300,0.2850,7.6194
14743,47.586328,39.322749,7.6300,55.8600,-26.9200,0.7040,8.5930
88483,271.011046,61.567832,8.6700,1.9800,-10.2600,0.5260,8.4038
43700,133.500039,-74.884787,3.8600,-33.0700,31.2700,1.2930,6.9824
37843,116.371319,-14.690629,9.0900,-15.0800,-21.4100,0.1100,6.1243
68485,210.313561,-48.587080,1.3300,-7.8800,-3.5300,-0.0430,8.6715
72763,223.122426,-48.247056,2.9000,11.3400,1.0300,0.9570,6.6446
109197,331.810088,70.694213,3.2700,10.7800,10.3600,0.1440,7.1373
33452,104.326705,47.277567,5.3200,-0.2800,-4.0800,0.1640,8.0674
88684,271.563938,-4.751383,28.6100,142.6400,-30.4100,0.9680,5.4341
94509,288.531814,20.080260,4.0000,18.9500,-5.9300,0.6040,8.7947
96094,293.058709,-28.375556,6.5400,9.2100,-45.1300,1.1530,8.0415
115128,349.782665,48.919467,7.3200,77.4000,7.0600,0.2760,7.2181
26980,85.873669,16.698317,3.5900,-5.2000,-6.2600,0.0920,8.2273
97893,298.397807,44.243388,2.1100,7.0000,9.8900,0.0650,8.4960
31107,97.914033,11.792246,1.2200,-10.2400,-6.8800,-0.1190,6.7973
54337,166.727356,-58.793356,3.2200,-10.4100,5.5900,0.0130,7.4810
80031,245.050589,-47.249285,2.5300,-0.8900,-7.2100,1.4950,7.5466
30439,95.992950,-45.946770,15.5500,299.9300,155.8900,0.7100,7.6417
57371,176.432946,-45.690113,4.1700,-41.7300,4.8000,-0.1180,5.4529
110090,334.517294,55.281461,2.5200,-0.6600,-2.3800,0.2010,8.8814
31727,99.567437,-22.767643,6.0600,0.8200,-19.5300,0.8880,7.9594
96851,295.299947,-2.313456,2.9100,-0.0400,-1.9700,0.0310,7.3051
107340,326.106000,35.609415,0.9300,-16.4800,-21.4200,1.0010,8.5130
68117,209.188829,-48.375807,4.5800,-12.4800,9.4800,0.4950,8.5457
46786,143.012678,-61.234875,2.6800,-12.5700,3.3100,0.0540,7.2161
93367,285.258720,33.547070,2.0300,2.6600,-1.8900,-0.0700,8.2682
3887,12.471973,64.637792,0.5800,-0.9000,0.0400,0.6160,8.3250
45169,138.059603,-74.858719,1.7000,-18.6500,12.2900,1.2820,8.0742
28839,91.314442,-54.408327,3.6500,7.6800,9.5200,0.9490,6.8556
38282,117.653743,-5.802966,3.6300,-10.3300,-5.9300,0.0350,7.8568
24527,78.931115,12.878785,12.5400,149.5800,-121.0200,0.6730,8.7449
98323,299.652491,29.941106,3.6200,-1.2100,-1.1800,0.3300,7.7776
29932,94.525891,-56.443991,9.9300,12.4100,21.1100,0.3990,8.1429
3954,12.693636,58.744411,3.4300,17.1900,-3.3700,0.0620,8.3589
4950,15.871082,36.841939,3.6400,-11.3000,-9.8600,0.0340,8.1043
18314,58.734139,57.440835,9.8300,37.5000,-52.5800,0.3090,7.7374
30202,95.310309,21.132436,4.0300,-4.4300,0.2500,-0.0800,7.4721
95169,290.419056,26.635312,13.0900,6.5300,-30.7300,0.4020,7.6376
111817,339.734217,54.905257,2.3000,5.6700,-5.7600,0.1820,8.5240
57603,177.151140,-38.740769,2.0600,-10.7100,5.1200,1.7010,7.4271
76181,233.403814,-76.782004,5.8700,-36.5500,-23.5000,0.6820,8.4346
8357,26.926298,54.004436,3.3400,1.4000,-11.0400,-0.0590,7.5618
40475,123.961975,-64.484525,9.9500,-38.3200,94.2000,0.5950,8.8184
58565,180.135761,-59.956438,1.8500,-10.8500,0.0500,1.0560,7.9356
35619,110.252559,10.195547,5.1800,-3.5200,-16.4000,0.0780,7.8084
69720,214.070606,-53.817285,7.1500,-27.2600,-18.0400,0.3910,8.7195
88871,272.154219,-4.440623,7.4900,-8.4000,-16.1600,1.3230,7.5721
27776,88.164469,-36.714700,2.7300,5.0000,6.2100,1.3820,8.3074
31733,99.585172,-2.543869,4.4200,-14.4500,6.4800,1.4700,5.6106
27521,87.413768,-4.456721,4.8200,8.9400,-25.2100,0.9860,8.0847
35342,109.511065,-30.937785,3.0400,-3.5000,3.6200,-0.0810,8.0951
71103,218.101823,-37.817586,14.4800,-101.9000,-53.6300,0.5690,8.3652
75945,232.673898,-52.771397,4.6000,-35.8900,-23.8700,0.8020,8.0858
14661,47.350999,45.382957,6.7200,23.6400,-22.5700,0.1100,8.1206
99464,302.814663,16.852925,13.3500,74.9200,-9.6900,0.4170,7.4828
113512,344.828048,53.712221,6.9800,17.8400,-1.5600,0.9850,8.0555
32620,102.087663,22.349955,1.1100,-1.3300,-6.8000,1.3890,7.6224
105453,320.385073,40.975002,3.8400,4.8200,-2.9400,0.1090,8.6744
116657,354.610259,42.511509,3.1700,8.8400,-0.5200,0.0310,6.9988
51731,158.545665,-68.459339,1.2900,-0.3600,0.7500,1.4900,7.8255
86956,266.536526,-44.609349,5.8400,15.2300,-3.2500,1.0270,8.3732
53793,165.092636,-40.252514,8.6300,15.6300,-85.6700,0.5790,7.8075
39420,120.873247,-42.948339,4.1800,-18.5500,-2.6800,1.0080,5.9504
108507,329.732534,41.696178,0.3900,2.3300,-4.3200,-0.0600,7.7105
77918,238.687163,-72.629163,2.8200,-11.1700,-12.3400,-0.0350,8.0553
104471,317.441191,19.210842,23.2400,-0.4700,20.6600,0.5070,6.8407
67915,208.651372,-49.309642,8.8200,-54.0900,-5.6300,0.4650,8.2327
71563,219.542243,-62.717727,2.9300,-5.0300,-1.8800,1.9410,7.9945
87945,269.486531,-36.007974,7.7500,9.9000,-9.4500,0.1200,6.8118
55759,171.374641,-7.852970,6.5800,-128.6200,-6.6900,0.5270,8.5219
111988,340.261492,51.758479,1.2800,-0.2600,-0.6600,1.5170,6.2127
45478,139.005127,-55.558125,11.6100,-27.7500,32.2600,0.4070,8.0406
113477,344.731326,69.031883,24.5200,593.2400,299.1000,0.7820,8.4997
99351,302.484628,20.918278,18.7500,64.0500,101.6700,0.7400,8.5773
89715,274.640889,58.008061,4.3200,-6.5500,-29.5400,1.0400,7.5868
71202,218.425139,-55.961057,0.7600,-13.6200,3.9800,1.7390,7.1635
35736,110.572041,4.671970,4.0100,-4.5400,-11.6200,0.9970,7.9119
70966,217.735831,-40.845140,3.1100,-13.1000,-4.1600,1.4410,5.8703
59477,182.985844,-74.757742,2.0600,-21.7100,-4.3900,1.2740,8.0481
44081,134.691862,-64.530494,2.8000,1.2000,2.6500,1.0730,6.5347
79967,244.837986,-54.514019,22.8200,143.8600,-98.3700,0.6420,6.9104
52614,161.384722,-75.008005,7.1900,-5.9300,-16.3300,0.1220,7.6805
99581,303.138826,25.653955,12.3300,36.6900,121.0100,0.4240,7.3513
98069,298.967205,-26.550006,12.7900,-22.1800,23.1700,0.4700,7.5980
72370,221.965325,-79.044819,7.9300,-5.6700,-15.7500,1.4330,3.3439
92016,281.327866,-21.001737,17.6200,26.7500,-28.3500,0.4580,6.2593
30500,96.179486,0.908532,4.5600,3.1200,1.9700,0.2030,8.7619
47406,144.875872,-15.961741,5.8300,-50.5900,5.5200,0.3780,8.2805
86280,264.447620,-48.045916,3.1000,-4.0500,-7.1500,0.9690,8.6060
68683,210.893500,-36.464905,7.8300,-36.9700,-38.9100,0.7390,8.5283
100235,304.940966,-8.454107,16.6800,-25.9700,-177.8800,0.6160,8.7895
28626,90.656946,32.591468,15.4300,27.3800,11.2000,0.4320,6.7054
106003,322.035063,32.225672,22.4100,134.0500,79.3900,0.3330,5.7208
81713,250.360443,-24.402457,13.2800,-42.9000,-20.4500,0.4990,8.1190
48308,147.727137,-77.323796,3.7500,1.2700,-6.4900,1.4150,8.3622
17681,56.817343,44.073595,8.1300,27.3900,-33.1700,0.0070,7.1575
38692,118.826213,-25.931843,3.4700,-25.2200,19.5000,1.3040,6.9677
82783,253.763870,-42.090842,-0.1500,-0.6800,-2.7200,0.3960,6.2369
61663,189.606798,-50.524097,4.9800,-25.0600,-21.4300,0.5970,8.7286
32369,101.347942,24.672457,0.6200,-0.0100,-3.1700,1.6500,6.3327
35635,110.308715,-12.933107,1.8900,-3.7900,-12.8000,0.0880,8.7429
105432,320.341483,32.612672,5.3900,14.4000,-14.2900,0.0620,6.1354
99625,303.280284,49.188561,3.9300,8.5000,10.9400,0.0410,8.1013
87596,268.402232,5.220483,3.7300,-24.4600,-39.3900,0.8650,8.0089
94026,287.141209,-20.991721,3.4600,-12.2800,-47.0500,1.2140,7.6196
116987,355.749863,43.236786,1.5300,-8.2200,-3.9600,1.4470,8.0814
217,0.673816,82.973189,2.7300,-10.9000,-3.0700,0.1180,7.3364
13105,42.127354,50.897386,5.7000,-5.3200,3.7100,0.1260,8.0346
89025,272.539746,-17.732704,4.6900,-20.4700,2.9200,1.3630,7.7128
32290,101.111726,5.206130,4.3300,-0.2200,7.2900,1.0350,6.8873
90302,276.381135,-37.149088,4.3000,9.7100,5.9900,0.0540,7.9968
39496,121.097106,-54.995369,4.2500,-8.0900,5.3700,-0.0080,8.0930
94784,289.296432,-21.757587,13.2900,160.0000,-131.5600,0.6340,8.1689
48613,148.713212,-50.243928,10.2200,-37.0200,7.2900,0.0060,5.8238
57299,176.239926,-51.571193,2.4900,-8.0500,-1.4900,0.1290,7.6182
48636,148.759421,-12.467287,11.0900,39.6300,37.9300,0.4150,7.5825
94214,287.699637,-38.909621,16.4100,26.6900,-33.5100,0.4700,7.4992
58104,178.751731,-81.348627,4.5700,-5.0300,29.9900,1.3070,8.4290
15,0.050457,50.791211,2.4500,13.8800,5.4700,1.1660,8.1742
3900,12.504310,38.738879,4.0800,-13.6200,-20.5900,1.0260,7.6423
105699,321.126402,55.366727,1.2100,-1.3200,-1.8400,0.4930,7.3805
17953,57.577665,83.356998,0.7400,-4.2200,5.5600,1.6780,8.2871
90844,277.987520,-1.002997,5.7200,10.0300,-4.6300,0.1700,5.9697
99011,301.511100,-18.704376,3.5500,-3.9900,0.0200,1.2010,8.0206
66590,204.751661,-64.694843,4.5400,-20.6300,-20.0300,0.0230,7.9609
79261,242.652010,-53.869235,-0.4500,-6.8100,-5.9000,1.9430,7.1833
33375,104.124495,-40.990222,3.7300,-8.8400,14.3200,0.2660,7.9340
102430,311.337455,46.354704,5.3600,1.7600,-21.3000,-0.0270,6.8264
92774,283.566670,-59.094979,9.6400,-27.8400,-77.4100,0.4680,8.6366
40205,123.176312,-13.479702,3.8200,-12.4300,-5.0800,0.1320,8.1901
101270,307.902122,32.564511,-0.9600,-3.7900,-7.3100,2.4570,7.6214
68720,211.012215,-37.772390,2.0900,5.5400,-3.4300,1.6580,7.3471
29464,93.121470,-36.563714,1.6400,-3.6900,5.9000,-0.1490,7.0476
87370,267.782487,-22.921341,23.1000,51.0600,-77.3900,0.6560,6.9635
110521,335.857854,42.058898,3.2800,-1.9000,-12.1000,0.1460,8.1840
64060,196.930848,-47.292532,-1.0600,-31.8800,-3.1700,0.9130,8.5612
34899,108.305475,-45.183119,17.9700,-24.8400,-88.2400,-0.0030,4.9976
51866,158.955429,-58.224272,0.6800,-7.5200,2.7900,0.0090,6.6230
115823,351.969083,65.365611,1.8000,11.0600,-6.1300,0.1860,8.5915
55252,169.738792,-35.201963,5.6000,-6.3700,-12.6900,0.3730,8.7768
100353,305.292658,12.842938,1.7300,1.3900,-10.6900,-0.0410,8.2259
30103,95.022678,-23.105323,5.8000,-4.4000,-0.4400,0.2460,7.9032
43071,131.596442,-52.843641,5.3700,-20.0300,18.2200,0.1800,7.7146
38795,119.100505,-40.736120,2.5700,-5.5800,9.1500,-0.1700,6.9579
82129,251.666462,-67.109748,5.2100,-15.2000,-13.3400,-0.0800,5.2584
84278,258.421671,-47.948952,2.2300,-2.8900,-5.8400,1.1760,7.4781
116161,353.048829,65.739190,7.5400,60.6500,7.7000,0.2300,6.6551
87099,266.940011,-22.477831,1.8000,1.4900,-9.4500,1.4460,5.6606
91150,278.940443,25.366873,3.6300,-0.0200,-8.2700,0.1560,8.6144
43822,133.873404,-7.971267,10.2400,7.7100,-26.3400,0.2200,6.0863
90304,276.381797,-63.021973,14.0300,0.5700,-101.8700,0.2020,6.1534
89926,275.237273,39.053490,2.6100,-6.3900,-20.7700,0.5320,8.7371
93940,286.916000,15.509002,7.5600,37.8800,7.8500,0.5970,8.0664
57847,177.945684,-41.247236,7.6100,-8.1000,31.8900,0.4580,7.2475
24866,79.959261,51.022473,3.2200,8.7300,-21.7900,0.1710,8.2620
87309,267.596556,35.437454,6.6300,-15.1800,4.9400,0.4720,7.9430
66384,204.162588,-58.498232,-1.2500,-2.8500,-3.0400,0.7280,7.4559
21459,69.121922,23.340623,22.6000,109.9700,-53.8600,0.3800,5.9572
29637,93.680414,16.037233,6.2000,7.0000,28.3100,0.9420,6.3547
69162,212.361576,-38.432846,6.2200,-40.4700,-18.5300,0.1550,7.9132
30179,95.249404,-78.412288,15.8400,-29.9100,-19.1800,0.5950,8.1563
87899,269.328143,12.626205,14.4600,55.3600,-91.4400,0.5210,7.3090
103277,313.846312,40.300019,1.5500,2.4400,-1.8800,0.1610,7.1694
15602,50.224711,68.456907,6.1600,20.2600,-22.9900,0.9580,6.9802
74369,227.959863,-46.751664,1.9700,2.5600,11.6300,1.6170,7.1673
45080,137.741874,-58.966835,7.7900,-17.6700,14.1400,-0.1900,3.6560
110321,335.174148,49.981502,3.9200,-10.8000,-5.8000,0.2030,8.8015
103511,314.568118,22.325890,8.2100,-2.6000,-4.0800,1.4190,4.8027
57907,178.161642,-62.235222,1.1600,-6.6100,-0.7000,-0.0240,7.3390
93347,285.201502,57.813246,5.2000,23.7600,39.3800,0.4180,7.9765
21637,69.714202,23.149733,22.6000,104.3000,-55.2500,0.5760,7.3542
10867,34.968802,59.527702,0.9100,15.4000,-14.6900,0.1820,8.1880
72593,222.643727,-45.139694,3.1700,-17.4600,-16.7700,,8.6508
1996,6.323831,35.037219,0.6100,-11.8600,-5.4700,1.5730,6.7813
9357,30.060313,67.381967,1.4500,1.9800,-6.5400,1.5850,7.4184
33347,104.034259,-17.054234,1.0600,-2.4600,1.9100,-0.0630,4.5197
87772,268.956865,-71.896288,3.8700,8.0500,31.1400,1.0370,7.6770
37984,116.779434,18.788639,3.2700,-2.2300,-4.4100,0.1150,8.3062
42110,128.757715,-27.996479,-1.2900,4.8300,-0.1900,1.7240,7.8717
116425,353.873061,54.015870,4.9800,27.3500,-1.2600,0.3000,8.2255
1579,4.944431,36.962347,4.2700,-41.3900,-22.4100,1.3040,6.7898
109677,333.263554,33.603637,14.7200,8.5200,66.3300,0.5590,7.2430
86736,265.857019,-21.683386,57.0000,-97.9300,-44.5700,0.4690,4.7820
93514,285.671859,31.399527,7.2700,-8.4700,-8.6000,0.3930,7.6019
27576,87.610872,75.714561,16.4200,-19.3700,-18.7300,0.5310,7.4825
72155,221.377281,-37.956908,16.0100,-96.3400,-55.0800,0.6090,8.1897
80987,248.095855,-34.238576,13.3200,-43.3800,-49.3100,0.5590,8.4882
60302,185.471877,-57.308231,7.0700,-44.8800,-10.3900,0.4070,8.7817
68750,211.086872,-65.416026,3.2200,-4.8100,-8.7000,0.0630,8.0027
99961,304.216434,27.054803,5.6700,25.3000,19.9900,0.1400,7.8308
29167,92.282655,7.055390,2.2800,1.5700,-5.5000,0.1070,8.5567
50722,155.345691,-61.074074,1.0200,-5.0900,4.3400,0.9090,8.5234
39956,122.387917,-53.541727,6.5800,-50.5100,94.1900,0.7420,8.5270
1725,5.426423,67.822998,5.9700,-23.5000,-4.1500,0.9810,6.2289
28568,90.437333,-72.147580,3.0500,5.3100,15.0400,1.6630,7.1373
67340,207.030217,-42.721351,-0.5600,-28.5500,-2.3600,1.2010,8.4357
30293,95.581675,17.153539,2.6100,5.2400,-13.6300,1.0680,8.1477
87822,269.102121,-65.723110,28.9200,84.6300,-318.5800,0.4510,6.2722
45850,140.215903,-75.297986,6.6900,-24.5100,11.8500,0.4430,8.5091
46593,142.520809,-28.593656,2.6400,-9.2700,1.0100,1.2520,6.9508
72492,222.348207,-57.438299,4.1300,-10.3700,-47.7600,0.6170,7.5834
27588,87.625109,2.024670,2.8900,0.5100,-6.9400,0.9530,5.6680
36802,113.536276,-50.840187,2.2800,9.1000,68.2600,1.5700,6.9308
28384,89.940504,6.769633,4.4600,-4.4800,-3.4200,0.1740,8.8240
79777,244.221098,-49.856893,35.8500,-20.3400,-32.6500,0.7600,7.3926
96411,294.022905,33.745865,5.1600,-0.4400,-44.1300,1.1800,7.0316
38054,116.992007,0.469615,5.2000,2.5100,-2.3600,0.9150,8.4615
69539,213.530583,-53.932006,0.2900,-5.6800,-3.1600,3.0280,6.0087
72972,223.696495,-50.823171,2.6900,-33.9700,-7.7700,1.4910,7.9831
73230,224.497586,-57.765780,-0.9700,-6.2300,-7.6500,0.0540,9.0443
89898,275.161108,22.797390,3.3800,-1.0200,-6.2800,-0.0500,6.9254
97043,295.833652,30.934318,0.6500,-2.5400,0.5500,1.5950,7.5030
114071,346.540419,41.789751,3.7100,-5.2000,-16.1100,0.8010,6.8411
712,2.207833,40.840968,4.7200,-9.2000,-11.8800,0.9940,7.2412
