# Hipparcos bright-star supplement for Gaia DR3 — generated by hipparcos-gaia-match
# Position propagated from Hipparcos epoch (J1991.25) to ref_epoch J2016.00 via Hipparcos PM.
# fitted_g_mag uses G ≈ +0.0222 +1.0109*Hp -0.4422*(B-V) when B-V is present,
# else the fallback G ≈ -0.2005 +0.9990*Hp.
hip,ra_j2016,dec_j2016,parallax_mas,pmra_mas_yr,pmdec_mas_yr,b_v,fitted_g_mag
99301,302.351952,34.716328,3.7900,29.2900,-28.9100,1.1700,7.8146
57987,178.408984,-49.320545,3.2400,-18.8500,-3.1300,0.0390,8.4158
80626,246.947148,-73.086698,0.8200,-2.0900,-6.5300,-0.0150,8.2375
47867,146.340394,-54.753308,1.0900,-0.7100,-3.1400,1.1880,7.9886
79403,243.073812,-29.000749,8.1900,24.5300,8.3100,0.4370,8.5026
86445,264.947005,-38.368468,3.5600,0.5100,-13.7700,1.0540,7.7243
32797,102.558316,18.797956,1.0200,-6.9300,-8.1300,0.6360,7.8687
69164,212.365837,-55.361343,6.1200,-28.5300,27.5300,0.4940,7.9720
80431,246.264340,-36.144306,5.0500,-12.5400,-33.1900,0.4290,7.8996
53427,163.939098,-36.678581,1.8300,-9.2100,2.8000,1.7160,8.3414
34578,107.424338,-33.339114,1.7200,-3.9100,3.6300,0.9320,8.5264
67748,208.186361,-59.096094,3.0200,-13.2400,-6.6600,0.0070,7.7122
78826,241.368927,-34.004580,6.7400,-26.0200,-27.7600,0.2560,8.0165
88718,271.678287,-18.984097,5.6600,4.4000,1.5300,0.3580,7.9613
32157,100.724890,23.213797,1.8100,-2.3500,-8.6900,0.6860,7.6444
91618,280.274413,-38.358431,7.4400,4.4700,7.4800,0.3340,8.4471
32463,101.635044,8.587123,2.9200,-4.9900,-6.7600,-0.1730,6.0833
103237,313.725716,-1.375821,15.1700,15.1700,-13.3000,0.4800,7.6446
50966,156.153133,-19.092537,11.0400,-14.2100,-10.8100,0.4660,7.9843
34172,106.312200,19.824595,2.2900,3.9300,-3.6300,-0.0200,8.9473
47763,146.067063,-58.037446,3.8000,-2.6200,-19.0500,0.4530,8.8292
54874,168.531583,-41.688363,2.7700,-40.5000,-20.3200,1.1530,7.9535
91158,278.971284,-33.175211,-0.9400,-9.5500,-13.8300,1.6400,7.7786
66296,203.810619,-60.157794,9.2800,29.2800,-9.2700,0.3710,8.1578
54664,167.852977,-52.664505,3.8500,-26.7000,38.2800,0.9970,7.9719
35280,109.327923,20.744475,6.2000,-22.5800,-25.2200,1.0430,7.3956
63788,196.111971,-64.790427,1.7100,-10.7600,-7.6400,1.5550,7.9173
49543,151.735525,-23.543276,5.1400,-16.1700,16.3700,0.3870,8.8381
71140,218.237645,-42.405537,8.0200,-20.8500,-17.9100,0.2810,7.7629
114406,347.539649,57.448217,5.3400,3.7900,-27.7800,1.1480,6.5303
33274,103.816948,-17.215281,2.6700,-4.5200,-0.4600,-0.0050,7.9904
87175,267.159205,-69.931138,2.0300,-4.9600,-13.4600,-0.0400,7.8037
47391,144.837171,-61.327977,14.5700,-34.8900,18.6000,-0.0700,4.6124
47430,144.963354,-32.920910,7.8400,-60.9000,34.8800,0.3870,7.9081
94025,287.140518,-31.094655,1.7500,15.3900,-0.3700,1.1680,7.7144
46435,142.055322,-7.720765,2.2600,4.6700,-6.1000,1.6090,6.3770
50518,154.758886,-56.020611,6.0600,-50.5600,24.4600,0.2000,7.0203
72831,223.303400,-59.715514,3.1700,-11.9200,-8.1500,0.1890,8.0765
89828,274.967254,-11.287672,10.1400,10.4500,-27.2400,0.5520,7.2589
20541,66.023057,53.495036,13.8400,48.4400,-52.9300,0.3750,6.9833
101456,308.428451,38.583137,4.3200,7.8300,0.9900,0.0260,8.1385
33138,103.508100,-18.565044,0.8200,-6.9100,3.7500,-0.0600,9.0560
72890,223.462250,-56.011774,0.8400,-14.5500,-12.1100,0.0430,8.9296
46171,141.234665,-50.286195,3.0500,5.7500,-5.1200,1.2100,7.4026
