# TSIS-1 Hybrid Solar Reference Spectrum (HSRS) version 2, resampled to 1 nm box means.
# Source: Coddington et al. (2023), Earth and Space Science, doi:10.1029/2022EA002637
# Archive: LASP LISIRD, https://lasp.colorado.edu/lisird/latis/dap/tsis1_hsrs.csv (native 0.001-0.01 nm sampling)
# Method: unweighted mean of every native sample falling in [n, n+1) nm; bin labelled by its lower edge.
# Irradiance is solar spectral irradiance at 1 AU, W m^-2 nm^-1, solar-minimum conditions between cycles 24 and 25.
# Archive uncertainty is 0.3% over 460-2365 nm and 1.3% outside it.
# Generated by scripts/build_table.py; do not hand-edit.
wavelength_nm,irradiance_w_m2_nm,uncertainty_w_m2_nm,n_samples
202,7.704460e-03,1.002e-04,1000
203,8.926693e-03,1.160e-04,1000
204,9.864796e-03,1.282e-04,1000
205,1.018986e-02,1.325e-04,1000
206,1.051054e-02,1.366e-04,1000
207,1.220709e-02,1.587e-04,1000
208,1.414568e-02,1.839e-04,1000
209,2.029999e-02,2.639e-04,1000
210,2.617716e-02,3.403e-04,1000
211,3.264759e-02,4.244e-04,1000
212,3.181693e-02,4.136e-04,1000
213,2.917486e-02,3.793e-04,1000
214,4.074047e-02,5.296e-04,1000
215,3.389824e-02,4.407e-04,1000
216,3.223122e-02,4.190e-04,1000
217,3.244706e-02,4.218e-04,1000
218,4.500032e-02,5.850e-04,1000
219,4.751839e-02,6.177e-04,1000
220,4.707075e-02,6.119e-04,1000
221,3.338644e-02,4.340e-04,1000
222,4.934107e-02,6.414e-04,1000
223,6.231946e-02,8.102e-04,1000
224,5.736891e-02,7.458e-04,1000
225,5.174890e-02,6.727e-04,1000
226,3.541617e-02,4.604e-04,1000
227,3.711697e-02,4.825e-04,1000
228,5.295373e-02,6.884e-04,1000
229,4.398360e-02,5.718e-04,1000
230,5.455773e-02,7.093e-04,1000
231,4.659342e-02,6.057e-04,1000
232,4.859902e-02,6.318e-04,1000
233,4.310668e-02,5.604e-04,1000
234,3.455464e-02,4.492e-04,1000
235,5.459361e-02,7.097e-04,1000
236,4.264383e-02,5.544e-04,1000
237,5.156175e-02,6.703e-04,1000
238,3.610170e-02,4.693e-04,1000
